,,,합계
2018,광진구,구의1동,833
2018,광진구,구의2동,"1,131"
2018,광진구,구의3동,818
2018,광진구,광장동,731
2018,광진구,자양1동,902
2018,광진구,자양2동,975
2018,광진구,자양3동,867
2018,광진구,자양4동,929
2018,동대문구,소계,"15,838"
2018,동대문구,회기동,313
2018,동대문구,휘경1동,601
2018,동대문구,휘경2동,901
2018,동대문구,청량리동,"1,374"
2018,동대문구,용신동,"1,442"
2018,동대문구,제기동,"1,329"
2018,동대문구,전농1동,"1,526"
2018,동대문구,전농2동,891
2018,동대문구,답십리1동,"1,045"
2018,동대문구,답십리2동,"1,408"
2018,동대문구,장안1동,"1,653"
2018,동대문구,장안2동,"1,266"
2018,동대문구,이문1동,"1,059"
2018,동대문구,이문2동,"1,030"
2018,중랑구,소계,"20,153"
2018,중랑구,면목2동,"1,280"
2018,중랑구,면목4동,"1,242"
2018,중랑구,면목5동,517
2018,중랑구,면목7동,"1,053"
2018,중랑구,상봉1동,"1,403"
2018,중랑구,상봉2동,824
2018,중랑구,중화1동,865
2018,중랑구,중화2동,"1,596"
2018,중랑구,묵1동,"1,427"
2018,중랑구,묵2동,903
2018,중랑구,망우3동,966
2018,중랑구,신내1동,"1,909"
2018,중랑구,신내2동,"1,447"
2018,중랑구,면목본동,"1,730"
2018,중랑구,면목3.8동,"1,259"
2018,중랑구,망우본동,"1,732"
2018,성북구,소계,"17,415"
2018,성북구,돈암1동,627
2018,성북구,돈암2동,724
2018,성북구,안암동,575
2018,성북구,보문동,621
2018,성북구,정릉1동,658
2018,성북구,정릉2동,973
2018,성북구,정릉3동,758
2018,성북구,정릉4동,"1,062"
2018,성북구,길음1동,"1,064"
2018,성북구,길음2동,443
2018,성북구,월곡1동,"1,180"
2018,성북구,월곡2동,935
2018,성북구,장위1동,"1,064"
2018,성북구,장위2동,752
2018,성북구,장위3동,580
2018,성북구,성북동,587
2018,성북구,삼선동,965
2018,성북구,동선동,575
2018,성북구,종암동,"1,607"
2018,성북구,석관동,"1,665"
2018,강북구,소계,"17,522"
2018,강북구,번1동,973
2018,강북구,번2동,"1,369"
2018,강북구,번3동,"2,019"
2018,강북구,수유1동,"1,281"
2018,강북구,수유2동,"1,112"
2018,강북구,수유3동,"1,100"
2018,강북구,삼양동,"1,419"
2018,강북구,미아동,"1,180"
2018,강북구,송중동,"1,399"
2018,강북구,송천동,"1,564"
2018,강북구,삼각산동,"1,269"
2018,강북구,우이동,"1,043"
2018,강북구,인수동,"1,794"
2018,도봉구,소계,"15,373"
2018,도봉구,쌍문1동,"1,096"
2018,도봉구,쌍문2동,947
2018,도봉구,쌍문3동,814
2018,도봉구,쌍문4동,704
2018,도봉구,방학1동,"1,449"
2018,도봉구,방학2동,"1,234"
2018,도봉구,방학3동,"1,010"
2018,도봉구,창1동,"1,046"
2018,도봉구,창2동,"1,314"
2018,도봉구,창3동,793
2018,도봉구,창4동,"1,000"
2018,도봉구,창5동,"1,002"
2018,도봉구,도봉1동,"1,477"
2018,도봉구,도봉2동,"1,487"
2018,노원구,소계,"27,396"
2018,노원구,월계1동,"1,056"
2018,노원구,월계2동,"2,298"
2018,노원구,월계3동,"1,958"
2018,노원구,공릉2동,"1,353"
2018,노원구,하계1동,"2,117"
2018,노원구,하계2동,998
2018,노원구,중계본동,881
2018,노원구,중계1동,778
2018,노원구,중계4동,"1,554"
2018,노원구,상계1동,"1,874"
2018,노원구,상계2동,906
2018,노원구,상계5동,"1,312"
2018,노원구,상계8동,708
2018,노원구,상계9동,753
2018,노원구,상계10동,516
2018,노원구,상계3.4동,"1,587"
2018,노원구,상계6.7동,"1,273"
2018,노원구,중계2.3동,"3,240"
2018,노원구,공릉1동,"2,234"
2018,은평구,소계,"21,531"
2018,은평구,녹번동,"1,528"
2018,은평구,불광1동,"1,682"
2018,은평구,갈현1동,"1,115"
2018,은평구,갈현2동,"1,208"
2018,은평구,구산동,"2,301"
2018,은평구,대조동,"1,439"
2018,은평구,응암1동,"1,155"
2018,은평구,응암2동,760
2018,은평구,신사1동,"1,217"
2018,은평구,신사2동,977
2018,은평구,증산동,711
2018,은평구,수색동,594
2018,은평구,진관동,"1,906"
2018,은평구,불광2동,"1,492"
2018,은평구,응암3동,"1,336"
2018,은평구,역촌동,"2,110"
2018,서대문구,소계,"12,610"
2018,서대문구,천연동,776
2018,서대문구,홍제1동,865
2018,서대문구,홍제3동,825
2018,서대문구,홍제2동,648
2018,서대문구,홍은1동,"1,099"
2018,서대문구,홍은2동,"1,298"
2018,서대문구,남가좌1동,537
2018,서대문구,남가좌2동,"1,060"
2018,서대문구,북가좌1동,709
2018,서대문구,북가좌2동,"1,583"
2018,서대문구,충현동,725
2018,서대문구,북아현동,626
2018,서대문구,신촌동,482
2018,서대문구,연희동,"1,377"
2018,마포구,소계,"13,219"
2018,마포구,용강동,622
2018,마포구,대흥동,431
2018,마포구,염리동,455
2018,마포구,신수동,683
2018,마포구,서교동,685
2018,마포구,합정동,611
2018,마포구,망원1동,854
2018,마포구,망원2동,775
2018,마포구,연남동,541
2018,마포구,성산1동,712
2018,마포구,성산2동,"2,027"
2018,마포구,상암동,"1,188"
2018,마포구,도화동,770
2018,마포구,서강동,681
2018,마포구,공덕동,"1,500"
2018,마포구,아현동,684
2018,양천구,소계,"17,350"
2018,양천구,목1동,668
2018,양천구,목2동,"1,043"
2018,양천구,목3동,866
2018,양천구,목4동,875
2018,양천구,신월1동,"1,215"
2018,양천구,신월2동,"1,039"
2018,양천구,신월3동,948
2018,양천구,신월4동,906
2018,양천구,신월5동,736
2018,양천구,신월6동,254
2018,양천구,신월7동,"1,165"
2018,양천구,신정1동,577
2018,양천구,신정2동,728
2018,양천구,신정3동,"2,111"
2018,양천구,신정6동,470
2018,양천구,신정7동,"1,390"
2018,양천구,목5동,743
2018,양천구,신정4동,"1,616"
2018,강서구,소계,"28,810"
2018,강서구,염창동,"1,070"
2018,강서구,등촌1동,733
2018,강서구,등촌2동,723
2018,강서구,등촌3동,"3,901"
2018,강서구,화곡본동,"1,439"
2018,강서구,화곡2동,780
2018,강서구,화곡3동,839
2018,강서구,화곡4동,954
2018,강서구,화곡6동,978
2018,강서구,화곡8동,"1,075"
2018,강서구,가양1동,818
2018,강서구,가양2동,"2,462"
2018,강서구,가양3동,"1,669"
2018,강서구,발산1동,"1,468"
2018,강서구,공항동,"1,094"
2018,강서구,방화1동,"1,787"
2018,강서구,방화2동,"1,614"
2018,강서구,방화3동,"1,999"
2018,강서구,화곡1동,"2,113"
2018,강서구,우장산동,"1,294"
2018,구로구,소계,"17,603"
2018,구로구,신도림동,947
2018,구로구,구로1동,529
2018,구로구,구로3동,905
2018,구로구,구로4동,"1,189"
2018,구로구,구로5동,"1,104"
2018,구로구,고척1동,"1,116"
2018,구로구,고척2동,"1,300"
2018,구로구,개봉2동,"1,436"
2018,구로구,개봉3동,979
2018,구로구,오류1동,"1,075"
2018,구로구,오류2동,"2,120"
2018,구로구,수궁동,"1,241"
2018,구로구,가리봉동,583
2018,구로구,구로2동,"1,453"
2018,구로구,개봉1동,"1,626"
2018,금천구,소계,"11,197"
2018,금천구,가산동,732
2018,금천구,독산1동,"1,926"
2018,금천구,독산2동,958
2018,금천구,독산3동,"1,205"
2018,금천구,독산4동,796
2018,금천구,시흥1동,"1,665"
2018,금천구,시흥2동,"1,127"
2018,금천구,시흥3동,541
2018,금천구,시흥4동,"1,065"
2018,금천구,시흥5동,"1,182"
2018,영등포구,소계,"14,405"
2018,영등포구,여의동,768
2018,영등포구,당산1동,805
2018,영등포구,당산2동,929
2018,영등포구,양평1동,734
2018,영등포구,양평2동,636
2018,영등포구,신길1동,816
2018,영등포구,신길3동,797
2018,영등포구,신길4동,533
2018,영등포구,신길5동,554
2018,영등포구,신길6동,782
2018,영등포구,신길7동,492
2018,영등포구,대림1동,760
2018,영등포구,대림2동,709
2018,영등포구,대림3동,"1,132"
2018,영등포구,영등포본동,"1,058"
2018,영등포구,영등포동,"1,068"
2018,영등포구,도림동,908
2018,영등포구,문래동,923
2018,영등포구,기타,1
2018,동작구,소계,"14,691"
2018,동작구,노량진2동,666
2018,동작구,상도1동,"1,556"
2018,동작구,상도2동,951
2018,동작구,상도3동,"1,138"
2018,동작구,상도4동,"1,306"
2018,동작구,사당1동,797
2018,동작구,사당3동,815
2018,동작구,사당4동,560
2018,동작구,사당5동,503
2018,동작구,대방동,"1,605"
2018,동작구,신대방1동,820
2018,동작구,신대방2동,720
2018,동작구,흑석동,"1,098"
2018,동작구,노량진1동,"1,263"
2018,동작구,사당2동,893
2018,관악구,소계,"20,264"
2018,관악구,보라매동,"1,108"
2018,관악구,청림동,679
2018,관악구,행운동,"1,097"
2018,관악구,낙성대동,475
2018,관악구,중앙동,597
2018,관악구,인헌동,901
2018,관악구,남현동,566
2018,관악구,서원동,847
2018,관악구,신원동,831
2018,관악구,서림동,869
2018,관악구,신사동,904
2018,관악구,신림동,541
2018,관악구,난향동,710
2018,관악구,조원동,736
2018,관악구,대학동,717
2018,관악구,은천동,"1,719"
2018,관악구,성현동,"1,525"
2018,관악구,청룡동,921
2018,관악구,난곡동,"1,588"
2018,관악구,삼성동,"1,528"
2018,관악구,미성동,"1,405"
2018,서초구,소계,"10,581"
2018,서초구,서초1동,472
2018,서초구,서초2동,298
2018,서초구,서초3동,699
2018,서초구,서초4동,453
2018,서초구,잠원동,609
2018,서초구,반포본동,200
2018,서초구,반포1동,532
2018,서초구,반포2동,254
2018,서초구,반포3동,326
2018,서초구,반포4동,364
2018,서초구,방배본동,469
2018,서초구,방배1동,464
2018,서초구,방배2동,756
2018,서초구,방배3동,603
2018,서초구,방배4동,616
2018,서초구,양재1동,"1,940"
2018,서초구,양재2동,674
2018,서초구,내곡동,852
2018,강남구,소계,"15,327"
2018,강남구,신사동,407
2018,강남구,논현1동,610
2018,강남구,논현2동,523
2018,강남구,삼성1동,292
2018,강남구,삼성2동,556
2018,강남구,대치1동,274
2018,강남구,대치4동,372
2018,강남구,역삼1동,777
2018,강남구,역삼2동,662
2018,강남구,도곡1동,440
2018,강남구,도곡2동,479
2018,강남구,개포1동,267
2018,강남구,개포4동,520
2018,강남구,일원본동,722
2018,강남구,일원1동,"1,093"
2018,강남구,일원2동,"1,173"
2018,강남구,수서동,"2,174"
2018,강남구,세곡동,"1,988"
2018,강남구,압구정동,479
2018,강남구,청담동,565
2018,강남구,대치2동,641
2018,강남구,개포2동,312
2018,강남구,기타,1
2018,송파구,소계,"20,008"
2018,송파구,풍납1동,697
2018,송파구,풍납2동,811
2018,송파구,거여1동,610
2018,송파구,거여2동,941
2018,송파구,마천1동,"1,228"
2018,송파구,마천2동,"1,216"
2018,송파구,방이1동,431
2018,송파구,방이2동,795
2018,송파구,오륜동,310
2018,송파구,오금동,"1,415"
2018,송파구,송파1동,687
2018,송파구,송파2동,518
2018,송파구,석촌동,"1,058"
2018,송파구,삼전동,969
2018,송파구,가락본동,746
2018,송파구,가락1동,14
2018,송파구,가락2동,926
2018,송파구,문정1동,598
2018,송파구,문정2동,525
2018,송파구,장지동,"1,489"
2018,송파구,위례동,752
2018,송파구,잠실본동,842
2018,송파구,잠실4동,597
2018,송파구,잠실6동,357
2018,송파구,잠실7동,200
2018,송파구,잠실2동,564
2018,송파구,잠실3동,712
2018,강동구,소계,"17,380"
2018,강동구,강일동,"1,493"
2018,강동구,상일동,485
2018,강동구,명일1동,779
2018,강동구,명일2동,468
2018,강동구,고덕1동,773
2018,강동구,고덕2동,551
2018,강동구,암사2동,480
2018,강동구,암사3동,556
2018,강동구,천호1동,"1,414"
2018,강동구,천호3동,"1,337"
2018,강동구,성내1동,652
2018,강동구,성내2동,"1,120"
2018,강동구,성내3동,876
2018,강동구,둔촌1동,7
2018,강동구,둔촌2동,956
2018,강동구,암사1동,"1,661"
2018,강동구,천호2동,"1,807"
2018,강동구,길동,"1,965"
